50 38 5 43
39 13 0 84
59 40 4 78
33 49 6 33
38 25 5 35
58 22 2 27
80 9 4 49
65 10 1 52
55 40 3 48
15 16 10 49
52 46 0 64
31 11 7 44
45 7 1 53
25 28 0 19
0 14 6 36
40 30 3 37
28 30 7 45
20 12 4 63
77 48 2 32
71 27 3 0
33 22 4 32
32 48 7 49
58 21 5 44
46 9 4 18
28 6 10 65
51 44 6 6
37 24 7 26
42 9 5 60
47 41 7 30
64 32 2 42
65 43 2 42
85 8 10 24
63 46 2 21
16 25 9 22
49 32 3 40
16 39 1 34
32 41 4 38
6 15 0 23
43 45 0 0
51 45 4 39
27 30 5 26
44 5 8 46
49 18 7 23
39 7 4 53
48 5 2 53
31 6 0 51
17 2 0 8
34 9 4 24
39 29 1 77
43 21 7 65
53 46 4 27
12 46 2 62
45 49 4 54
31 46 4 44
1 19 2 57
1 21 2 41
48 11 8 33
67 3 6 12
50 46 2 45
34 13 9 56
60 31 2 44
35 39 7 35
35 28 1 37
39 1 0 36
43 45 3 45
50 16 3 76
0 0 1 15
55 47 1 32
45 15 1 26
43 6 0 65
44 19 5 15
15 8 4 28
61 2 5 51
28 48 6 39
57 5 5 65
33 4 4 48
49 17 6 29
10 21 4 66
32 11 7 41
33 6 2 35
15 47 6 41
25 35 6 38
41 25 3 0
53 30 4 44
40 33 4 26
55 48 7 34
70 13 1 10
40 42 3 68
30 9 2 56
36 30 6 27
11 25 0 43
24 12 10 54
27 9 3 38
40 4 1 92
44 11 8 47
20 3 4 40
47 27 4 28
37 43 7 34
51 23 0 6
55 4 5 47
50 41 4 32
49 26 1 21
15 37 4 39
66 11 1 31
9 14 2 53
56 20 8 23
44 49 1 62
11 15 7 0
33 2 9 41
23 4 2 30
44 35 9 25
18 0 0 0
8 4 5 34
30 7 6 33
74 36 3 53
16 30 6 57
45 33 5 47
30 43 3 36
44 37 0 57
10 23 10 64
78 29 6 0
63 0 2 0
10 17 6 31
51 9 1 28
33 13 6 46
57 41 3 58
31 10 6 42
24 45 2 24
25 35 4 48
40 12 4 36
49 3 0 52
45 21 7 69
32 41 0 45
37 35 5 22
46 47 6 47
27 21 7 74
56 13 2 37
12 27 4 39
23 32 9 58
69 14 6 7
33 0 4 53
35 26 5 29
66 2 1 77
49 24 5 15
54 28 10 31
32 46 8 49
37 8 4 28
51 31 3 58
79 45 3 20
48 25 0 86
